:: Logging to C:\Users\shirao\AppData\Local\Temp\UnitypackageTools20191217190050-1o_gyjyg.log
[INFO   ] 2019-12-17 19:00:50,246::root                     | Current-directory: D:\works\programs\python\vemt\vemt-unitypackage-validator
[WARNING] 2019-12-17 19:01:36,770::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 865a0727ffe095a40abbb2b8d799e720 (Assets/UniGLTF/UniJSON/Scripts/IFileSystemAccessor.cs)
[WARNING] 2019-12-17 19:01:36,773::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 86e7cea5d902c1647b14db77b02f967e (Assets/MeshBaker/Editor/MB3_MBVersionConcreteEditor.cs)
[WARNING] 2019-12-17 19:01:36,775::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 870806eda355b5144879155e2ba37eb6 (Assets/PostProcessing/Editor/Models/MotionBlurModelEditor.cs)
[WARNING] 2019-12-17 19:01:36,778::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 870cb47398900534994d90eb1cecace8 (Assets/UniGLTF/Core/Scripts/Extensions/glTFExtensions.cs)
[WARNING] 2019-12-17 19:01:36,781::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 87377c86d84f49a4e912d37d28353e7f (Assets/PostProcessing/Editor/Models/DitheringModelEditor.cs)
[WARNING] 2019-12-17 19:01:36,783::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 875c029f22e4efd438030561aaaf38b3 (Assets/Editor/x64/Bakery/scripts/ftSceneView.cs)
[WARNING] 2019-12-17 19:01:36,786::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 878f9710d4ae4cb408f056108c0b4a73 (Assets/MeshBaker/scripts/core/MB3_PriorityQueue.cs)
[WARNING] 2019-12-17 19:01:36,791::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 87a626e93589db14fbe4526c9880b110 (Assets/UniGLTF/UniJSON/Editor/Tests/MsgPack/MapTest.cs)
[WARNING] 2019-12-17 19:01:36,794::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 883d8b6e07cbda24384ce65d613d128e (Assets/UniGLTF/UniHumanoid/Scripts/Skeleton.cs)
[WARNING] 2019-12-17 19:01:36,798::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 89005ebc9543e0a4284893c09ca19b1d (Assets/VRCSDK/Dependencies/VRChat/Editor/EditorCoroutine.cs)
[WARNING] 2019-12-17 19:01:36,801::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8986a640e24a0754ea0aded12234b808 (Assets/VRCSDK/Dependencies/VRChat/Editor/VRCPlayerModEditorWindow.cs)
[WARNING] 2019-12-17 19:01:36,805::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8995f52f410f0fb4cb1bdaa71a16e04e (Assets/PostProcessing/Editor/PropertyDrawers/MinDrawer.cs)
[WARNING] 2019-12-17 19:01:36,809::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 89fdb6b2d5d77544a89d515d7a5eea2f (Assets/MeshBaker/Examples/SwitchBakedObjectsTexture/MB_SwitchBakedObjectsTexture.cs)
[WARNING] 2019-12-17 19:01:36,813::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8a3bdb2cd68f901469e7cc149151eb49 (Assets/PostProcessing/Runtime/PostProcessingProfile.cs)
[WARNING] 2019-12-17 19:01:36,816::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8a713f71a0169794a915a081f6242f60 (Assets/PostProcessing/Editor/Models/ChromaticAberrationEditor.cs)
[WARNING] 2019-12-17 19:01:36,820::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8a90ec11b51863c4cb2d8a8cee31c2fb (Assets/VRCSDK/Dependencies/VRChat/Scripts/Validation.cs)
[WARNING] 2019-12-17 19:01:36,823::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8add88348b69079419318c17a4aec61a (Assets/MeshBaker/Editor/searchFilters/MB3_GroupByLightmapIndex.cs)
[WARNING] 2019-12-17 19:01:36,826::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8bc8132d76300ee44a64c5a4dde3d57e (Assets/MeshBaker/scripts/core/MB_TGAWriter.cs)
[WARNING] 2019-12-17 19:01:36,830::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8d2d07b67753fb0489decee9926ab2da (Assets/UniGLTF/Core/Scripts/IO/ImporterContext.cs)
[WARNING] 2019-12-17 19:01:36,832::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8d6f5e40bc0825b449887d877c0ad5c5 (Assets/UniGLTF/UniJSON/Editor/Tests/MsgPack/IntTest.cs)
[WARNING] 2019-12-17 19:01:36,835::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8da01668697617e43879715e835a2367 (Assets/PostProcessing/Runtime/Models/ChromaticAberrationModel.cs)
[WARNING] 2019-12-17 19:01:36,838::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8df1de98bdc0b534bbe68e8f2f8a858f (Assets/UniGLTF/DepthFirstScheduler/Scheduler/ThreadScheduler.cs)
[WARNING] 2019-12-17 19:01:36,842::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8f31cf52f05e80c4ea48570d0c3c8f59 (Assets/PostProcessing/Editor/Utils/FxStyles.cs)
[WARNING] 2019-12-17 19:01:36,844::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 8fa03f1f7136ab343804c12ca3cfc5eb (Assets/HalbyAssets/Editor/SetCustomShaderPropsEditor.cs)
[WARNING] 2019-12-17 19:01:36,847::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 904f803396a9e464fb40efb864f89527 (Assets/VketBoothValidator/Editor/Rules/G_ComponentLimitation/G03_PickupObjectRule.cs)
[WARNING] 2019-12-17 19:01:36,850::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 90602a3805f09cb46a2e25d5e9cb3cf4 (Assets/UniGLTF/UniJSON/Scripts/IStore/ByteUnion.cs)
[WARNING] 2019-12-17 19:01:36,853::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9238dc0c44df9484bbdca85d818c9b73 (Assets/UniGLTF/Core/Scripts/Format/glbTypes.cs)
[WARNING] 2019-12-17 19:01:36,856::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 92bf6005e8d6db94b8b55c67caea9ddd (Assets/UniGLTF/UniHumanoid/Scripts/SkeletonMeshUtility.cs)
[WARNING] 2019-12-17 19:01:36,859::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 93876efa1f47abb4889f8d51e6518279 (Assets/VketBoothValidator/Editor/Rules/D_boothFormat/D02_NumberOfMaterialsRule.cs)
[WARNING] 2019-12-17 19:01:36,862::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 93f246464bc2f0e468fdc4761cc80c6c (Assets/MeshBaker/scripts/TextureBlenders/TextureBlenderStandardMetallicRoughness.cs)
[WARNING] 2019-12-17 19:01:36,865::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 94c3d79fdb5ee5b47bf768ec3542171e (Assets/MeshBaker/Examples/SceneBasicAssets/maintex7.psd)
[WARNING] 2019-12-17 19:01:36,869::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 958d625f263bc9e468b7ea865c491cef (Assets/Editor/x64/Bakery/scripts/ftModelPostProcessor.cs)
[WARNING] 2019-12-17 19:01:36,872::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 95a8ce08d7dd3be418fe07a8ca19752a (Assets/Annoma/extra/scripts/FookVRCCam.cs)
[WARNING] 2019-12-17 19:01:36,875::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 96621564d26fc294291143738c163a3d (Assets/UniGLTF/UniJSON/Scripts/MsgPack/MsgPackParser.cs)
[WARNING] 2019-12-17 19:01:36,878::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 96875af05a8fc9c4f8ce03e13615199f (Assets/MeshBaker/scripts/core/TextureCombiner/MB2_TexturePacker.cs)
[WARNING] 2019-12-17 19:01:36,881::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 973f36da309a48d4ea3c5526a51e957f (Assets/UniGLTF/UniHumanoid/PoseModifier/IPoseModifier.cs)
[WARNING] 2019-12-17 19:01:36,883::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 976e99d37c093ce4c9b249c81c2cbdd5 (Assets/UniGLTF/UniHumanoid/Scripts/AvatarDescription.cs)
[WARNING] 2019-12-17 19:01:36,887::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 98bd42f8c3a895d4bac6cbcf523878bb (Assets/UniGLTF/DepthFirstScheduler/Unit.cs)
[WARNING] 2019-12-17 19:01:36,890::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9923b24d0600a884cb152990e61704c5 (Assets/VketBoothValidator/Editor/Rules/G_ComponentLimitation/G04_RigidbodyRule.cs)
[WARNING] 2019-12-17 19:01:36,892::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9938a92be6deed7438f1b5efdcc48e75 (Assets/MeshBaker/Editor/core/MB3_MBVersionEditor.cs)
[WARNING] 2019-12-17 19:01:36,895::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 99662edfbf59e8f458bcba3b62b13050 (Assets/UniGLTF/Core/Scripts/IO/MaterialExporter.cs)
[WARNING] 2019-12-17 19:01:36,898::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9968766fe6cce164a8c7e950200cbb11 (Assets/UniGLTF/UniJSON/Scripts/Json/JsonFormatter.cs)
[WARNING] 2019-12-17 19:01:36,901::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9a9ae59cbb7c53e40851df7f32805098 (Assets/PostProcessing/Runtime/Components/MotionBlurComponent.cs)
[WARNING] 2019-12-17 19:01:36,904::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9af2f505033843c46a362e251937acb1 (Assets/PostProcessing/Runtime/Attributes/MinAttribute.cs)
[WARNING] 2019-12-17 19:01:36,906::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9b03724cd556cb047b2da80492ea28a5 (Assets/VRCSDK/Dependencies/VRChat/Scripts/WorldValidation.cs)
[WARNING] 2019-12-17 19:01:36,909::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9baf73db7c9fc1b478f4a0a1000c86f5 (Assets/PostProcessing/Runtime/Components/ColorGradingComponent.cs)
[WARNING] 2019-12-17 19:01:36,912::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9cb8b6f878e36a74f90d172daee60bed (Assets/UniGLTF/Core/Scripts/IO/IStorage.cs)
[WARNING] 2019-12-17 19:01:36,917::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9ebc6e2b9a7e8ca40988a5afc178492b (Assets/MeshBaker/Examples/SceneBasicAssets/maintex8.psd)
[WARNING] 2019-12-17 19:01:36,919::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9eec7d996f61d7245a9c9d169979b8dd (Assets/MeshBaker/Editor/MB3_BatchPrefabBakerEditor.cs)
[WARNING] 2019-12-17 19:01:36,922::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9ef0f2d1f5d6369438e968b16dab2b65 (Assets/UniGLTF/UniJSON/Scripts/MsgPack/MsgPackNode.cs)
[WARNING] 2019-12-17 19:01:36,925::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9fcb710e23a5a0546a3b8b0ca28c1720 (Assets/PostProcessing/Editor/Models/AmbientOcclusionModelEditor.cs)
[WARNING] 2019-12-17 19:01:36,927::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9fef66d39a7b22b499bea68e0b22d000 (Assets/UniGLTF/UniJSON/Scripts/JsonSchemaValidator/JsonSchemaValidatorFactory.cs)
[WARNING] 2019-12-17 19:01:36,930::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is 9ff35fccc1467f341b052622fedcb3ca (Assets/UniGLTF/UniJSON/Scripts/JsonSchemaValidator/JsonSchemaValidator.cs)
[WARNING] 2019-12-17 19:01:36,933::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a071375b62913014282acc67a8c276c2 (Assets/Editor/x64/Bakery/frender.dll)
[WARNING] 2019-12-17 19:01:36,935::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a080b80faca4b9a4fa0a43361585c4be (Assets/Editor/x64/Bakery/scripts/ftLightmappedPrefabInspector.cs)
[WARNING] 2019-12-17 19:01:36,939::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a28e27cacfc7e70479097f0a63c37217 (Assets/Bakery/BakeryLightMesh.cs)
[WARNING] 2019-12-17 19:01:36,943::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a48d33b6bcc4b4645b87cab80608ca2e (Assets/MeshBaker/scripts/core/MB3_MeshCombinerSimpleData.cs)
[WARNING] 2019-12-17 19:01:36,946::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a4ff02eb93400b142a5ff47d1067bd8b (Assets/UniGLTF/Core/Scripts/Format/glTFCamera.cs)
[WARNING] 2019-12-17 19:01:36,949::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a655a11e824098c468ccaf2e5f5f72e2 (Assets/HalbyAssets/Editor/DynamicBoneAutoFixer.cs)
[WARNING] 2019-12-17 19:01:36,951::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a668d493c5ed56d448b53c19b2c3dfd2 (Assets/PostProcessing/Editor/PropertyDrawers/TrackballGroupDrawer.cs)
[WARNING] 2019-12-17 19:01:36,954::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a66d7b0165140a1439be89b5afc000fb (Assets/PostProcessing/Editor/Utils/EditorResources.cs)
[WARNING] 2019-12-17 19:01:36,957::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a82bf73539bdd2d4c81595b5108819ce (Assets/UniGLTF/Core/Scripts/IO/gltfExporter.cs)
[WARNING] 2019-12-17 19:01:36,960::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a95f3f10e7e437c49ade656f531b30d2 (Assets/PostProcessing/Editor/Models/BloomModelEditor.cs)
[WARNING] 2019-12-17 19:01:36,963::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a9775daf5f793f64e98ccd6c4a61bbc8 (Assets/Toon/Editor/RemoveUnusedShaderKeywordsFromUTS2Material.cs)
[WARNING] 2019-12-17 19:01:36,966::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is a97974931c5043247b11cd77898c1702 (Assets/MeshBaker/scripts/MB3_MeshBakerGrouper.cs)
[WARNING] 2019-12-17 19:01:36,969::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is aa32ad3ea4c1ec540a03225c0d520af9 (Assets/UniGLTF/UniJSON/Scripts/Extensions/ByteExtensions.cs)
[WARNING] 2019-12-17 19:01:36,972::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is aa62a51ebe4821e4b89a64d267b30a27 (Assets/PostProcessing/Runtime/Attributes/TrackballGroupAttribute.cs)
[WARNING] 2019-12-17 19:01:36,977::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ac2f355d76817dd47826545c8e52c82a (Assets/HalbyAssets/Editor/RenameMeshEditor.cs)
[WARNING] 2019-12-17 19:01:36,980::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ac8e94c94918f5245823661062e06239 (Assets/MeshBaker/Editor/searchFilters/MB3_GroupByAlreadyAdded.cs)
[WARNING] 2019-12-17 19:01:36,984::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is acd4204a794b09048b928b1e987500c5 (Assets/PostProcessing/Runtime/Components/BloomComponent.cs)
[WARNING] 2019-12-17 19:01:36,986::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is aceaf5bd3ec59834bbd2a309fb7b0967 (Assets/MeshBaker/scripts/MB3_MeshBakerRoot.cs)
[WARNING] 2019-12-17 19:01:36,989::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ad4b6b115b83ecd48a513f697afc95f0 (Assets/UniGLTF/Core/Scripts/PreExportShaderProps/UniGLTF_UniUnlit.cs)
[WARNING] 2019-12-17 19:01:36,992::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ad6e327911774fb4d9cf5c3b4c233d15 (Assets/MeshBaker/scripts/TextureBlenders/TextureBlenderStandardMetallic.cs)
[WARNING] 2019-12-17 19:01:36,994::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is adb1b4e1e150c76469ea29a4529d34e4 (Assets/HalbyAssets/Editor/ComponentRemover.cs)
[WARNING] 2019-12-17 19:01:36,997::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ae0e74693b7899f47bd98864f94b9311 (Assets/VRCSDK/Dependencies/VRChat/Editor/VRC_SyncVideoPlayerEditor.cs)
[WARNING] 2019-12-17 19:01:37,000::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is ae2833922b06981439883d1e924b4cd0 (Assets/UniGLTF/Core/Scripts/Editor/ImporterMenu.cs)
[WARNING] 2019-12-17 19:01:37,003::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is aec5694806c4d75449e231cfae69c329 (Assets/PostProcessing/Runtime/Utils/RenderTextureFactory.cs)
[WARNING] 2019-12-17 19:01:37,006::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is af90b245557210a4ca9c821c717faafe (Assets/MeshBaker/scripts/core/TextureCombiner/MB3_ITextureCombinerPacker.cs)
[WARNING] 2019-12-17 19:01:37,009::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is afb349ef0bffd144db2bdd25630f648e (Assets/PostProcessing/Editor/Utils/CurveEditor.cs)
[WARNING] 2019-12-17 19:01:37,011::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is afe296d4ede60a0479734dc8c7df82c2 (Assets/PostProcessing/Editor/PostProcessingModelEditor.cs)
[WARNING] 2019-12-17 19:01:37,014::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b030a9507e46dd3488c080be0227b219 (Assets/UniGLTF/DepthFirstScheduler/MainThreadDispatcher.cs)
[WARNING] 2019-12-17 19:01:37,017::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b09821b8d3dfc0b4f91f803d34f461fe (Assets/VketBoothValidator/Editor/Rules/D_boothFormat/D01b_BoothPositionRule.cs)
[WARNING] 2019-12-17 19:01:37,020::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b09d683d2eeac64489ae12a44c9c00d8 (Assets/MeshBaker/scripts/core/TextureCombiner/MB3_TextureCombinerPackerMeshBakerHorizontalVertical.cs)
[WARNING] 2019-12-17 19:01:37,023::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b1f878f3742072e40a280683573bd0ee (Assets/PostProcessing/Editor/Monitors/ParadeMonitor.cs)
[WARNING] 2019-12-17 19:01:37,025::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b20907f4e291cab4eb59a6f9f6ae5d0c (Assets/MeshBaker/scripts/core/MB3_GrouperCluster.cs)
[WARNING] 2019-12-17 19:01:37,028::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b235eb1c486b38c4fa06470234bbfd32 (Assets/PostProcessing/Editor/Models/UserLutModelEditor.cs)
[WARNING] 2019-12-17 19:01:37,033::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b4f615922dd999d40bc250214c857158 (Assets/MeshBaker/Examples/CharacterCustomization/Textures/skin.psd)
[WARNING] 2019-12-17 19:01:37,036::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b587e8104b43940479f216b6dee30a8a (Assets/Editor/x64/Bakery/rgba2tga.exe)
[WARNING] 2019-12-17 19:01:37,038::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b5aadac20fc53d04abe0492399479ce5 (Assets/UniGLTF/Core/Scripts/IO/ZipArchiveStorage.cs)
[WARNING] 2019-12-17 19:01:37,042::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b79b3cba502aa134ca22cc156985b07e (Assets/MeshBaker/Editor/MB3_MeshBakerSettingsAssetEditor.cs)
[WARNING] 2019-12-17 19:01:37,045::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b7fa80e7116296f4eb4f49ec1544ee22 (Assets/Bakery/ftLightmapsStorage.cs)
[WARNING] 2019-12-17 19:01:37,048::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b80a7ee38e762de44a90d60d9d4ff4dd (Assets/UniGLTF/Core/Scripts/Format/JsonFormatter.cs)
[WARNING] 2019-12-17 19:01:37,050::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b87313b5306b62d4ea4f743055ae60f4 (Assets/UniGLTF/UniJSON/Scripts/IStore/StreamStore.cs)
[WARNING] 2019-12-17 19:01:37,053::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b98a8ee8ca13abb43809305cc4e5571a (Assets/UniGLTF/Core/Scripts/PreExportShaderProps/Unlit_Transparent.cs)
[WARNING] 2019-12-17 19:01:37,056::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b9be5ed7795b65d448a3cd700e472f8a (Assets/MeshBaker/Editor/searchFilters/MB3_GroupByStandardShaderType.cs)
[WARNING] 2019-12-17 19:01:37,059::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is b9c65642df654a84d84ded1b07448a4c (Assets/PostProcessing/Runtime/Components/ChromaticAberrationComponent.cs)
[WARNING] 2019-12-17 19:01:37,062::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is baedd976e12657241bf7ff2d1c685342 (Assets/DynamicBone/Scripts/DynamicBoneCollider.cs)
[WARNING] 2019-12-17 19:01:37,065::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bafda51ddeeb2b84b920b119176499b8 (Assets/UniGLTF/UniJSON/Editor/Tests/JsonDiffTests.cs)
[WARNING] 2019-12-17 19:01:37,067::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bb15d88e30f9fae428df916379b289b2 (Assets/VRCSDK/Examples/Sample Assets/Editor/RealtimeEmissiveGammaGUI.cs)
[WARNING] 2019-12-17 19:01:37,070::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bb4df227c906dd342bd34767914d292c (Assets/PostProcessing/Runtime/Models/MotionBlurModel.cs)
[WARNING] 2019-12-17 19:01:37,072::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bb7e18c535284a84f877576ebe43decd (Assets/MeshBaker/scripts/core/MB_IMeshBakerSettings.cs)
[WARNING] 2019-12-17 19:01:37,075::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bb955c20e5d3cce44b756cc24d501cb7 (Assets/MeshBaker/scripts/MB3_MeshBakerCommon.cs)
[WARNING] 2019-12-17 19:01:37,082::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bbb2d6b7ca7f3a748b1b1b13329bbf99 (Assets/Editor/x64/Bakery/optix_denoiser.51.dll)
[WARNING] 2019-12-17 19:01:37,085::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bc09dae63ba521545a0b9a8ef120b95a (Assets/UniGLTF/UniJSON/Scripts/MsgPack/Exceptions.cs)
[WARNING] 2019-12-17 19:01:37,088::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bda1e03d682e63749a6b114fd6cc0add (Assets/UniGLTF/UniJSON/Editor/Tests/IWriteStreamTest.cs)
[WARNING] 2019-12-17 19:01:37,092::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is bea92e3ac6c6c0e4e844465bfe9cdced (Assets/VketBoothValidator/Editor/Rules/C_SceneHierarchy/C02_StaticObjectRule.cs)
[WARNING] 2019-12-17 19:01:37,094::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is befe679b60f82d54f9ffa20a9fd118da (Assets/HalbyAssets/DBController.cs)
[WARNING] 2019-12-17 19:01:37,103::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c02dbbbfa50b4d24bb80c38630c51d64 (Assets/Editor/x64/Bakery/optix.1.dll)
[WARNING] 2019-12-17 19:01:37,105::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c0409865d977e644d97db08d14bfa7f8 (Assets/MeshBaker/scripts/MB3_BatchPrefabBaker.cs)
[WARNING] 2019-12-17 19:01:37,109::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c097f9d4143ea74408755b1e958bd374 (Assets/MeshBaker/Examples/PrepareObjectsForDynamicBatching/MB_PrepareObjectsForDynamicBatchingDescription.cs)
[WARNING] 2019-12-17 19:01:37,112::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c14e5357edee28647998f236802bd976 (Assets/HalbyAssets/RenameMesh.cs)
[WARNING] 2019-12-17 19:01:37,115::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c15016a7fef58974f91a6a4d6b132d94 (Assets/PostProcessing/Editor/Models/DefaultPostFxModelEditor.cs)
[WARNING] 2019-12-17 19:01:37,118::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c17aba6c3878ffb4da8ecb9800b93d9e (Assets/Editor/x64/Bakery/d3dcompiler_47.dll)
[WARNING] 2019-12-17 19:01:37,121::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c1a88b26726f137419428078debd253f (Assets/UniGLTF/UniHumanoid/Scripts/BvhBone.cs)
[WARNING] 2019-12-17 19:01:37,123::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c1c966936aac6324fb171fc3133fd76c (Assets/Editor/x64/Bakery/scripts/xatlas/xatlasLib.dll)
[WARNING] 2019-12-17 19:01:37,126::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c21938aa988055347a2271f03a3e731e (Assets/PostProcessing/Editor/Attributes/PostProcessingModelEditorAttribute.cs)
[WARNING] 2019-12-17 19:01:37,129::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c227d71a4040d304c943c26e0914bdeb (Assets/PostProcessing/Runtime/Components/EyeAdaptationComponent.cs)
[WARNING] 2019-12-17 19:01:37,132::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c2b4c5d630c305d44a44bc6a7fb96344 (Assets/Editor/x64/Bakery/scripts/ftLightMeshInspector.cs)
[WARNING] 2019-12-17 19:01:37,135::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c2c83f67e20a2a541961a1e8baa44b41 (Assets/Bakery/examples/content/logolight.fbm/ftlogo.psd)
[WARNING] 2019-12-17 19:01:37,138::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c320f3f577dde634a871dc88266c2a20 (Assets/UniGLTF/DepthFirstScheduler/Functor.cs)
[WARNING] 2019-12-17 19:01:37,141::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c35476cdb8e1a4541b2f06b9b11141d0 (Assets/UniGLTF/UniJSON/Scripts/JsonSchemaValidator/IJsonSchemaValidator.cs)
[WARNING] 2019-12-17 19:01:37,143::FilenameBlacklist        | [ FIX ] Included blackfile and removed. Asset is c3e3bce1d5c900d4fa7aa0f2b21814cf (Assets/PostProcessing/Editor/Models/ColorGradingModelEditor.cs)
